package,component,fname
geomtextpath,scale,scale_hjust_identity
geomtextpath,scale,scale_hjust_manual
geomtextpath,scale,scale_vjust_discrete
geomtextpath,scale,scale_vjust_identity
geomtextpath,scale,scale_vjust_manual
geomtextpath,coord,coord_curvedpolar
geomtextpath,guide,guide_axis_textpath
GET,geom,geom_central_region
GET,stat,stat_central_region
ggalign,geom,geom_draw
ggalign,geom,geom_gshape
ggalign,geom,geom_magick
ggalign,geom,geom_pie
ggalign,geom,geom_rect3d
ggalign,geom,geom_subrect
ggalign,geom,geom_subtile
ggalign,geom,geom_tile3d
ggalign,scale,scale_gshape_manual
ggalign,scale,scale_z_binned
ggalign,scale,scale_z_continuous
ggalign,scale,scale_z_date
ggalign,scale,scale_z_datetime
ggalign,scale,scale_z_discrete
ggalign,scale,scale_z_ordinal
ggalign,coord,coord_circle
ggalign,facet,facet_sector
ggalign,theme,theme_no_axes
ggallin,geom,geom_cloud
ggalluvial,geom,geom_alluvium
ggalluvial,geom,geom_flow
ggalluvial,geom,geom_lode
ggalluvial,geom,geom_stratum
ggalluvial,stat,stat_alluvium
ggalluvial,stat,stat_flow
ggalluvial,stat,stat_stratum
GGally,geom,geom_stripped_cols
GGally,geom,geom_stripped_rows
GGally,stat,stat_cross
GGally,stat,stat_ggally_count
GGally,stat,stat_prop
GGally,stat,stat_weighted_mean
ggarchery,geom,geom_arrowsegment
ggarchery,position,position_attractsegment
ggarrow,geom,geom_arrow
ggarrow,geom,geom_arrow_chain
ggarrow,geom,geom_arrow_curve
ggarrow,geom,geom_arrow_segment
ggarrow,scale,scale_arrow_fins_continuous
ggarrow,scale,scale_arrow_fins_discrete
ggarrow,scale,scale_arrow_head_continuous
ggarrow,scale,scale_arrow_head_discrete
ggarrow,scale,scale_arrow_mid_continuous
ggarrow,scale,scale_arrow_mid_discrete
ggarrow,scale,scale_resect_continuous
ggarrow,scale,scale_resect_discrete
ggautomap,geom,geom_boundaries
ggautomap,geom,geom_centroids
ggautomap,geom,geom_choropleth
ggautomap,geom,geom_geoscatter
ggautomap,geom,geom_inset_frame
ggautomap,geom,geom_sf_inset
ggautomap,geom,geom_sf_label_inset
ggautomap,geom,geom_sf_text_inset
ggautomap,stat,stat_automap
ggautomap,stat,stat_automap_coords
ggautomap,stat,stat_choropleth
ggautomap,stat,stat_geoscatter
ggautomap,stat,stat_sf_inset
ggautomap,coord,coord_automap
ggautomap,position,position_circle_repel
ggautomap,position,position_circle_repel_sf
