package,component,fname,dep_type
fishualize,scale,scale_color_fish,imports or depends
fishualize,scale,scale_color_fish_d,imports or depends
fishualize,scale,scale_colour_fish,imports or depends
fishualize,scale,scale_colour_fish_d,imports or depends
fishualize,scale,scale_fill_fish,imports or depends
fishualize,scale,scale_fill_fish_d,imports or depends
flexoki,scale,scale_color_flexoki_b,imports or depends
flexoki,scale,scale_color_flexoki_c,imports or depends
flexoki,scale,scale_color_flexoki_d,imports or depends
flexoki,scale,scale_colour_flexoki_b,imports or depends
flexoki,scale,scale_colour_flexoki_c,imports or depends
flexoki,scale,scale_colour_flexoki_d,imports or depends
flexoki,scale,scale_fill_flexoki_b,imports or depends
flexoki,scale,scale_fill_flexoki_c,imports or depends
flexoki,scale,scale_fill_flexoki_d,imports or depends
flexoki,theme,theme_flexoki_dark,imports or depends
flexoki,theme,theme_flexoki_light,imports or depends
flipr,stat,stat_bg_ip,imports or depends
flipr,stat,stat_bs,imports or depends
flipr,stat,stat_cq_ip,imports or depends
flipr,stat,stat_dom_ip,imports or depends
flipr,stat,stat_energy_ip,imports or depends
flipr,stat,stat_f,imports or depends
flipr,stat,stat_f_ip,imports or depends
flipr,stat,stat_fisher,imports or depends
flipr,stat,stat_fisher_ip,imports or depends
flipr,stat,stat_hotelling,imports or depends
flipr,stat,stat_max,imports or depends
flipr,stat,stat_mean,imports or depends
flipr,stat,stat_mod_ip,imports or depends
flipr,stat,stat_student,imports or depends
flipr,stat,stat_student_ip,imports or depends
flipr,stat,stat_t,imports or depends
flipr,stat,stat_t_ip,imports or depends
flipr,stat,stat_welch,imports or depends
foqat,geom,geom_avri,imports or depends
foqat,geom,geom_avri_batch,imports or depends
foqat,geom,geom_psd,imports or depends
foqat,geom,geom_ts,imports or depends
foqat,geom,geom_ts_batch,imports or depends
foqat,geom,geom_tsw,imports or depends
forcis,geom,geom_basemap,imports or depends
forecast,geom,geom_forecast,imports or depends
forestly,theme,theme_panel,imports or depends
forestmodel,theme,theme_forest,imports or depends
funcharts,scale,scale_mfd,imports or depends
funkyheatmap,geom,geom_rounded_rect,imports or depends
funkyheatmap,scale,scale_minmax,imports or depends
funkyheatmap,position,position_arguments,imports or depends
funModeling,coord,coord_plot,imports or depends
